,Código comuna,Región,Nombre comuna,Número de personas en situación de pobreza por ingresos,Porcentaje de personas en situación de pobreza por ingresos 2015,Límite inferior,Límite superior,Metodología de Estimación
216,9120,IX de la Araucanía ,Villarrica,10056,0.16375449299812317,0.13011534512043,0.2040504515171051,Estimación Directa
217,9121,IX de la Araucanía ,Cholchol,4776.897,0.4284597337245941,0.3490650951862335,0.5249873995780945,SAE
218,9201,IX de la Araucanía ,Angol,10994,0.22223569452762604,0.15435098111629486,0.3090648949146271,Estimación Directa
219,9202,IX de la Araucanía ,Collipulli,5997,0.3271328806877136,0.25633904337882996,0.40678346157073975,Estimación Directa
220,9203,IX de la Araucanía ,Curacautín,3608,0.2524489164352417,0.2007112354040146,0.3123120367527008,Estimación Directa
221,9204,IX de la Araucanía ,Ercilla,4462.686,0.5021588802337646,0.4335993528366089,0.6005738973617554,SAE
222,9205,IX de la Araucanía ,Lonquimay,4411.202,0.40791580080986023,0.3395192623138428,0.4944615066051483,SAE
223,9206,IX de la Araucanía ,Los Sauces,2026.544,0.3572891652584076,0.28649088740348816,0.43923255801200867,SAE
224,9207,IX de la Araucanía ,Lumaco,3724.651,0.4054703712463379,0.3357398808002472,0.5065032839775085,SAE
225,9208,IX de la Araucanía ,Purén,3816.045,0.35330483317375183,0.28548571467399597,0.4418507218360901,SAE
226,9209,IX de la Araucanía ,Renaico,2744.766,0.31567177176475525,0.2422088086605072,0.39844194054603577,SAE
227,9210,IX de la Araucanía ,Traiguén,4137,0.25199487805366516,0.16187329590320587,0.3701328933238983,Estimación Directa
228,9211,IX de la Araucanía ,Victoria,7923,0.25112518668174744,0.2024545669555664,0.3069925904273987,Estimación Directa
229,10101,X de los Lagos,Puerto Montt,31254,0.11984723061323166,0.08947478234767914,0.1587323248386383,Estimación Directa
230,10102,X de los Lagos,Calbuco,5304,0.1453668475151062,0.12961997091770172,0.16266919672489166,Estimación Directa
231,10103,X de los Lagos,Cochamó,861.3392,0.22678756713867188,,,IMC
